CREW
1;Иванов Иван Иванович
2;Петров Петр Петрович
3;Сидоров Сидор Сидорович
4;Кузнецов Алексей Петрович
5;Смирнова Ольга Ивановна

FLIGHTS
SU100;A320;RA-10001;2020-12-28T07:00;2020-12-28T15:00;SVO;LED;1,2
SU101;A320;RA-10001;2020-12-29T08:00;2020-12-29T16:00;LED;SVO;1,2
SU102;A320;RA-10001;2020-12-30T09:00;2020-12-30T17:00;SVO;LED;1,2
SU103;A320;RA-10001;2021-01-02T06:00;2021-01-02T14:00;LED;SVO;1,3
SU104;A320;RA-10001;2021-01-03T07:00;2021-01-03T15:00;SVO;LED;1,3
SU105;A320;RA-10001;2021-01-10T08:00;2021-01-10T12:00;SVO;LED;2,3
SU106;A320;RA-10001;2021-01-15T09:00;2021-01-15T13:00;LED;SVO;1
SU107;A320;RA-10001;2021-01-22T10:00;2021-01-22T14:00;SVO;LED;2
SU108;A320;RA-10001;2021-02-01T06:00;2021-02-01T14:00;LED;SVO;1,2,3
SU109;A320;RA-10001;2021-02-05T07:00;2021-02-05T15:00;SVO;LED;1,2
SU110;A320;RA-10001;2021-02-10T08:00;2021-02-10T16:00;LED;SVO;3
SU111;A320;RA-10001;2021-02-15T09:00;2021-02-15T17:00;SVO;LED;2,3
SU112;A320;RA-10001;2021-02-20T10:00;2021-02-20T18:00;LED;SVO;1,3
SU113;A320;RA-10001;2021-02-25T11:00;2021-02-25T19:00;SVO;LED;1,2,3
SU114;B737;RA-20002;2021-03-01T07:00;2021-03-01T11:00;SVO;KZN;4,5
SU115;B737;RA-20002;2021-03-05T12:00;2021-03-05T16:00;KZN;SVO;4,5
SU116;B737;RA-20002;2021-03-10T08:00;2021-03-10T12:00;SVO;ROV;4
SU117;B737;RA-20002;2021-03-15T13:00;2021-03-15T17:00;ROV;SVO;4,5
SU118;A321;RA-30003;2021-03-20T06:00;2021-03-20T12:00;SVO;KJA;1,5
SU119;A321;RA-30003;2021-03-25T13:00;2021-03-25T19:00;KJA;SVO;1,5
SU120;A321;RA-30003;2021-04-01T07:00;2021-04-01T13:00;SVO;OVB;2,4
SU121;A321;RA-30003;2021-04-05T14:00;2021-04-05T20:00;OVB;SVO;2,4
SU122;A320;RA-10001;2021-04-10T08:00;2021-04-10T10:00;SVO;LED;3,5
SU123;A320;RA-10001;2021-04-15T11:00;2021-04-15T13:00;LED;SVO;3,5
SU124;B737;RA-20002;2021-04-20T09:00;2021-04-20T13:00;SVO;AER;1,2,3
SU125;B737;RA-20002;2021-04-25T14:00;2021-04-25T18:00;AER;SVO;1,2,3
